0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:04 +0700] "GET /ShopLaptop/views/img/product01.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:04 +0700] "GET /ShopLaptop/views/img/product02.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:04 +0700] "GET /ShopLaptop/views/img/product03.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:04 +0700] "GET /ShopLaptop/views/img/product05.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:04 +0700] "GET /ShopLaptop/views/img/product04.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:04 +0700] "GET /ShopLaptop/views/img/product06.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:04 +0700] "GET /ShopLaptop/views/img/product07.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:04 +0700] "GET /ShopLaptop/views/img/product08.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:04 +0700] "GET /ShopLaptop/views/img/product09.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:05 +0700] "GET /ShopLaptop/views/admin/css/bootstrap.min.css.map HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:05 +0700] "GET /ShopLaptop/views/admin/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:05 +0700] "GET /ShopLaptop/views/admin/css/ajax-loader.gif HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:05 +0700] "GET /ShopLaptop/views/img/product05.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:05 +0700] "GET /ShopLaptop/views/img/product04.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:05 +0700] "GET /ShopLaptop/views/img/product03.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:05 +0700] "GET /ShopLaptop/views/img/product02.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:05 +0700] "GET /ShopLaptop/views/img/product01.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:05 +0700] "GET /ShopLaptop/views/img/product09.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:05 +0700] "GET /ShopLaptop/views/img/product08.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:05 +0700] "GET /ShopLaptop/views/img/product07.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:05 +0700] "GET /ShopLaptop/views/img/product06.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:50 +0700] "GET /ShopLaptop/list-category HTTP/1.1" 200 40275
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:50 +0700] "GET /ShopLaptop/webapp/views/img/shop03.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:50 +0700] "GET /ShopLaptop/webapp/views/img/shop01.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:50 +0700] "GET /ShopLaptop/webapp/views/img/product02.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:50 +0700] "GET /ShopLaptop/webapp/views/img/shop02.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:50 +0700] "GET /ShopLaptop/webapp/views/img/product01.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:50 +0700] "GET /ShopLaptop/webapp/views/img/product03.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:50 +0700] "GET /ShopLaptop/webapp/views/img/product05.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:50 +0700] "GET /ShopLaptop/webapp/views/img/product07.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:50 +0700] "GET /ShopLaptop/webapp/views/img/product08.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:50 +0700] "GET /ShopLaptop/webapp/views/img/product06.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:50 +0700] "GET /ShopLaptop/webapp/views/img/product04.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:50 +0700] "GET /ShopLaptop/webapp/views/img/product09.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:50 +0700] "GET /ShopLaptop/views/admin/css/bootstrap.min.css.map HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:50 +0700] "GET /ShopLaptop/views/admin/css/ajax-loader.gif HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:50 +0700] "GET /ShopLaptop/webapp/views/img/product04.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:50 +0700] "GET /ShopLaptop/webapp/views/img/product05.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:50 +0700] "GET /ShopLaptop/webapp/views/img/product03.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:50 +0700] "GET /ShopLaptop/webapp/views/img/product02.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:50 +0700] "GET /ShopLaptop/webapp/views/img/product01.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:50 +0700] "GET /ShopLaptop/webapp/views/img/product09.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:50 +0700] "GET /ShopLaptop/webapp/views/img/product08.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:50 +0700] "GET /ShopLaptop/webapp/views/img/product07.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:12:50 +0700] "GET /ShopLaptop/webapp/views/img/product06.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:26:07 +0700] "GET /ShopLaptop/list-category HTTP/1.1" 200 40350
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:26:07 +0700] "GET /ShopLaptop/webapp/views/img/shop01.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:26:07 +0700] "GET /ShopLaptop/webapp/views/img/shop03.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:26:07 +0700] "GET /ShopLaptop/webapp/views/img/shop02.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:26:07 +0700] "GET /ShopLaptop/webapp/views/img/product02.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:26:07 +0700] "GET /ShopLaptop/webapp/views/img/product01.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:26:07 +0700] "GET /ShopLaptop/webapp/views/img/product03.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:26:07 +0700] "GET /ShopLaptop/webapp/views/img/product04.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:26:07 +0700] "GET /ShopLaptop/webapp/views/img/product09.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:26:07 +0700] "GET /ShopLaptop/webapp/views/img/product06.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:26:07 +0700] "GET /ShopLaptop/webapp/views/img/product07.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:26:07 +0700] "GET /ShopLaptop/webapp/views/img/product08.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:26:07 +0700] "GET /ShopLaptop/webapp/views/img/product05.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:26:07 +0700] "GET /ShopLaptop/views/admin/css/bootstrap.min.css.map HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:26:07 +0700] "GET /ShopLaptop/views/admin/css/ajax-loader.gif HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:26:07 +0700] "GET /ShopLaptop/webapp/views/img/product05.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:26:07 +0700] "GET /ShopLaptop/webapp/views/img/product04.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:26:07 +0700] "GET /ShopLaptop/webapp/views/img/product03.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:26:07 +0700] "GET /ShopLaptop/webapp/views/img/product01.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:26:07 +0700] "GET /ShopLaptop/webapp/views/img/product09.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:26:07 +0700] "GET /ShopLaptop/webapp/views/img/product02.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:26:07 +0700] "GET /ShopLaptop/webapp/views/img/product06.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:26:07 +0700] "GET /ShopLaptop/webapp/views/img/product08.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:26:07 +0700] "GET /ShopLaptop/webapp/views/img/product07.png HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:27:54 +0700] "GET /ShopLaptop/list-category HTTP/1.1" 200 40377
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:27:54 +0700] "GET /ShopLaptop/webapp/views/img/shop01.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:27:54 +0700] "GET /ShopLaptop/webapp/views/img/shop03.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:27:54 +0700] "GET /ShopLaptop/webapp/views/img/shop02.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:27:54 +0700] "GET /ShopLaptop/webapp/views/img/product01.png HTTP/1.1" 404 808
